n,x,y,lab
450.0,-3.6835241552031053,9.46666075013618,1
451.0,-3.68362078127548,9.46960248766917,1
452.0,-3.677706267536947,9.469588157678244,1
453.0,-3.6718624410088925,9.472434119020596,1
454.0,-3.671882410008554,9.469627704712067,1
455.0,-3.674910795266995,9.469599855693284,1
456.0,-3.6777869390664866,9.472430689699134,1
457.0,-3.680645617947873,9.472441132647226,1
458.0,-3.6807178539948153,9.475304953690559,1
459.0,-3.674846453200706,9.475315560816176,1
460.0,-3.6719103190720146,9.463749209674477,1
461.0,-3.66615094318301,9.452455035732742,1
462.0,-3.6689696633879074,9.440958602757405,1
463.0,-3.6719317856890097,9.435192225584752,1
464.0,-3.671951974513512,9.432341555690897,1
465.0,-3.668946502217406,9.429380644402947,1
466.0,-3.663079039862788,9.429472988777583,1
467.0,-3.6631090587576787,9.42656639251332,1
468.0,-3.6601771106244727,9.426626209088722,1
469.0,-3.660172525498741,9.426612574350719,1
470.0,-3.6572884757256454,9.42948559944297,1
471.0,-3.6543041484192256,9.438044112152463,1
472.0,-3.651411658537367,9.443768333785215,1
473.0,-3.651387234112319,9.449550231223018,1
474.0,-3.645647587776556,9.440899782996766,1
475.0,-3.642687571428278,9.429461060099227,1
476.0,-3.6368426347166314,9.420805557274095,1
477.0,-3.6368075277006366,9.420911772118059,1
478.0,-3.6368052750269944,9.426551284621603,1
479.0,-3.6367220109239207,9.43238565732974,1
480.0,-3.6397097179943834,9.432294117033315,1
481.0,-3.639758852115348,9.432239190262088,1
482.0,-3.6426216812172454,9.435148370297323,1
483.0,-3.636776155020016,9.438061954966564,1
484.0,-3.6309353737119525,9.435131458593302,1
485.0,-3.6221450418805734,9.4323165337409,1
486.0,-3.6162208955552217,9.426516918008907,1
487.0,-3.6133313222009784,9.43795961633661,1
488.0,-3.6133223185227856,9.449510188183261,1
489.0,-3.616246490048939,9.45811415680065,1
490.0,-3.6163296528339144,9.466665357533284,1
491.0,-3.616272398398349,9.472494244934634,1
492.0,-3.6133417391943206,9.47817120729223,1
493.0,-3.616232765378581,9.472437090298476,1
494.0,-3.619209919817061,9.466775325262596,1
495.0,-3.6221482738040978,9.469529154864304,1
496.0,-3.622121134949951,9.47817794349878,1
497.0,-3.619207341873153,9.48396050612431,1
498.0,-3.610403264770668,9.489631883092564,1
499.0,-3.6046443260156575,9.492456038128072,1
500.0,-3.604562565537582,9.495359240261093,1
501.0,-3.5987428257292313,9.486846548019784,1
502.0,-3.595847575808951,9.475354637839152,1
503.0,-3.584006700991738,9.460917136122536,1
504.0,-3.575367600637209,9.455210598848597,1
505.0,-3.566431616825388,9.449476294544356,1
506.0,-3.5635088260844268,9.44952079198195,1
507.0,-3.5665024229748976,9.446613404357763,1
508.0,-3.5694152870942637,9.446522330660633,1
509.0,-3.5723715258639537,9.446582551092305,1
510.0,-3.5635606124684993,9.446656299365982,1
511.0,-3.5489631070775314,9.446646247159634,1
512.0,-3.534255102270825,9.446611552900038,1
513.0,-3.528436479719057,9.44672566372277,1
514.0,-3.522571219666408,9.443743143366675,1
515.0,-3.5196635229611557,9.44373308553338,1
516.0,-3.513801229793413,9.443791363975098,1
517.0,-3.5109397944844973,9.44378673501591,1
518.0,-3.5079595413428053,9.443819394438641,1
519.0,-3.505028144485656,9.440896428291973,1
520.0,-3.5138411467896087,9.443740285126989,1
521.0,-3.5196175866268518,9.432340278408773,1
522.0,-3.5195936452786967,9.420776400872946,1
523.0,-3.5137957977082417,9.409430018317257,1
524.0,-3.5080023427605593,9.41794580727727,1
525.0,-3.5109556172666325,9.42657886833011,1
526.0,-3.5079215608581085,9.42945781555563,1
527.0,-3.5050632679874867,9.429419158866567,1
528.0,-3.502101376249938,9.423735500283401,1
529.0,-3.5021219127495056,9.426638270010317,1
